,Y,X,Beta,p-value
0,1332 JT,1332 JT,-0.08860686719410486,0.0019202445090971746
1,1332 JT,1333 JT,-0.03112750719517289,0.553068945368558
2,1332 JT,1334 JT,-0.18649869581297324,0.009399303540771498
3,1332 JT,1605 JT,-0.07062216493084703,0.03120201424792563
4,1332 JT,1721 JT,-0.1270108665954776,0.0007912749377689865
5,1332 JT,1801 JT,-0.06832104286350324,0.058525096699050254
6,1332 JT,1802 JT,-0.09186787372484764,0.010746834991745193
7,1332 JT,1803 JT,-0.07089574432533138,0.05004650578457654
8,1332 JT,1808 JT,-0.08339015816933548,0.05711969982371189
9,1332 JT,1812 JT,-0.0679031306312481,0.05132264722978307
10,1332 JT,1925 JT,-0.06499309869113201,0.07497590290422534
11,1332 JT,1928 JT,-0.058198620406589116,0.14104696959683863
12,1332 JT,1963 JT,-0.043415632183212274,0.17311442702245097
13,1332 JT,2002 JT,-0.08823482013907881,0.03525568168395335
14,1332 JT,2269 JT,-0.11801505111583814,0.0012550749745759953
15,1332 JT,2282 JT,-0.039428963681325147,0.2924041388848445
16,1332 JT,2432 JT,-0.08846476785668593,0.018488014559334916
17,1332 JT,2501 JT,-0.057092973531511826,0.11490202634348604
18,1332 JT,2502 JT,-0.05556205977734188,0.18353087568396162
19,1332 JT,2503 JT,-0.06874485682887962,0.08938848786512744
20,1332 JT,2531 JT,-0.08026800732243591,0.00908557734158957
21,1332 JT,2768 JT,-0.0708130580455112,0.041443280605293516
22,1332 JT,2801 JT,-0.07837147825329936,0.02849697483994929
23,1332 JT,2802 JT,-0.05525932467297539,0.1620757543401446
24,1332 JT,2871 JT,-0.06718561467612161,0.055071031352748934
25,1332 JT,2914 JT,-0.06946987092964407,0.0820466174113809
26,1332 JT,3086 JT,-0.11694203572183468,0.00012374685471985982
27,1332 JT,3099 JT,-0.10214611257506015,0.0008544226903629822
28,1332 JT,3101 JT,-0.054512849089557995,0.0927558463321274
29,1332 JT,3103 JT,-0.12673670786470903,2.39338246892402e-06
